2024-07-05 09:28:01 客户端（192.168.19.128）已连接。
2024-07-05 09:28:01 192.168.19.128 login ok.
2024-07-05 11:42:19 recv /myproject/myserver/surfdata/SURF_ZH_20240705114200_14488.xml(125564) ...ok.
2024-07-05 11:43:19 recv /myproject/myserver/surfdata/SURF_ZH_20240705114300_14572.xml(125560) ...ok.
2024-07-05 11:44:19 recv /myproject/myserver/surfdata/SURF_ZH_20240705114400_14634.xml(125586) ...ok.
2024-07-05 11:45:19 recv /myproject/myserver/surfdata/SURF_ZH_20240705114500_14695.xml(125629) ...ok.
2024-07-05 11:46:20 recv /myproject/myserver/surfdata/SURF_ZH_20240705114600_14756.xml(125566) ...ok.
2024-07-05 11:47:20 recv /myproject/myserver/surfdata/SURF_ZH_20240705114700_14819.xml(125558) ...ok.
2024-07-05 11:48:20 recv /myproject/myserver/surfdata/SURF_ZH_20240705114800_14883.xml(125544) ...ok.
2024-07-05 11:49:20 recv /myproject/myserver/surfdata/SURF_ZH_20240705114900_14944.xml(125584) ...ok.
2024-07-05 11:50:20 recv /myproject/myserver/surfdata/SURF_ZH_20240705115000_15012.xml(125544) ...ok.
2024-07-05 11:51:20 recv /myproject/myserver/surfdata/SURF_ZH_20240705115100_15085.xml(125574) ...ok.
2024-07-05 11:52:21 recv /myproject/myserver/surfdata/SURF_ZH_20240705115200_15146.xml(125587) ...ok.
2024-07-05 11:53:21 recv /myproject/myserver/surfdata/SURF_ZH_20240705115300_15213.xml(125635) ...ok.
2024-07-05 11:54:21 recv /myproject/myserver/surfdata/SURF_ZH_20240705115400_15274.xml(125545) ...ok.
2024-07-05 11:55:21 recv /myproject/myserver/surfdata/SURF_ZH_20240705115500_15336.xml(125584) ...ok.
2024-07-05 11:56:21 recv /myproject/myserver/surfdata/SURF_ZH_20240705115600_15418.xml(125562) ...ok.
2024-07-05 11:57:21 recv /myproject/myserver/surfdata/SURF_ZH_20240705115700_15479.xml(125590) ...ok.
2024-07-05 11:58:21 recv /myproject/myserver/surfdata/SURF_ZH_20240705115800_15544.xml(125578) ...ok.
2024-07-05 11:59:22 recv /myproject/myserver/surfdata/SURF_ZH_20240705115900_15606.xml(125544) ...ok.
2024-07-05 12:00:22 recv /myproject/myserver/surfdata/SURF_ZH_20240705120000_15672.xml(125594) ...ok.
2024-07-05 12:01:22 recv /myproject/myserver/surfdata/SURF_ZH_20240705120100_15745.xml(125575) ...ok.
2024-07-05 12:02:22 recv /myproject/myserver/surfdata/SURF_ZH_20240705120200_15807.xml(125557) ...ok.
2024-07-05 12:03:22 recv /myproject/myserver/surfdata/SURF_ZH_20240705120300_15872.xml(125565) ...ok.
2024-07-05 12:04:22 recv /myproject/myserver/surfdata/SURF_ZH_20240705120400_15933.xml(125550) ...ok.
2024-07-05 12:05:22 recv /myproject/myserver/surfdata/SURF_ZH_20240705120500_15995.xml(125592) ...ok.
2024-07-05 12:06:23 recv /myproject/myserver/surfdata/SURF_ZH_20240705120600_16057.xml(125599) ...ok.
2024-07-05 12:07:23 recv /myproject/myserver/surfdata/SURF_ZH_20240705120700_16118.xml(125544) ...ok.
2024-07-05 12:08:23 recv /myproject/myserver/surfdata/SURF_ZH_20240705120800_16183.xml(125550) ...ok.
2024-07-05 12:09:23 recv /myproject/myserver/surfdata/SURF_ZH_20240705120900_16264.xml(125556) ...ok.
2024-07-05 12:10:23 recv /myproject/myserver/surfdata/SURF_ZH_20240705121000_16330.xml(125544) ...ok.
2024-07-05 12:11:23 recv /myproject/myserver/surfdata/SURF_ZH_20240705121100_16393.xml(125570) ...ok.
2024-07-05 12:12:23 recv /myproject/myserver/surfdata/SURF_ZH_20240705121200_16456.xml(125613) ...ok.
2024-07-05 12:13:23 recv /myproject/myserver/surfdata/SURF_ZH_20240705121300_16520.xml(125567) ...ok.
2024-07-05 12:14:24 recv /myproject/myserver/surfdata/SURF_ZH_20240705121400_16583.xml(125547) ...ok.
2024-07-05 12:15:24 recv /myproject/myserver/surfdata/SURF_ZH_20240705121500_16643.xml(125608) ...ok.
2024-07-05 12:16:27 recv /myproject/myserver/surfdata/SURF_ZH_20240705121600_16790.xml(125547) ...ok.
2024-07-05 12:17:27 recv /myproject/myserver/surfdata/SURF_ZH_20240705121700_16874.xml(125563) ...ok.
2024-07-05 12:18:28 recv /myproject/myserver/surfdata/SURF_ZH_20240705121800_16938.xml(125584) ...ok.
2024-07-05 12:19:28 recv /myproject/myserver/surfdata/SURF_ZH_20240705121900_17000.xml(125550) ...ok.
2024-07-05 12:20:28 recv /myproject/myserver/surfdata/SURF_ZH_20240705122000_17067.xml(125559) ...ok.
2024-07-05 12:21:28 recv /myproject/myserver/surfdata/SURF_ZH_20240705122100_17128.xml(125586) ...ok.
2024-07-05 12:22:28 recv /myproject/myserver/surfdata/SURF_ZH_20240705122200_17211.xml(125541) ...ok.
2024-07-05 12:23:28 recv /myproject/myserver/surfdata/SURF_ZH_20240705122300_17276.xml(125600) ...ok.
2024-07-05 12:24:28 recv /myproject/myserver/surfdata/SURF_ZH_20240705122400_17337.xml(125585) ...ok.
2024-07-05 12:25:29 recv /myproject/myserver/surfdata/SURF_ZH_20240705122500_17400.xml(125587) ...ok.
2024-07-05 12:26:29 recv /myproject/myserver/surfdata/SURF_ZH_20240705122600_17462.xml(125535) ...ok.
2024-07-05 12:27:29 recv /myproject/myserver/surfdata/SURF_ZH_20240705122700_17523.xml(125604) ...ok.
2024-07-05 12:28:29 recv /myproject/myserver/surfdata/SURF_ZH_20240705122800_17589.xml(125583) ...ok.
2024-07-05 12:29:29 recv /myproject/myserver/surfdata/SURF_ZH_20240705122900_17651.xml(125609) ...ok.
2024-07-05 12:30:29 recv /myproject/myserver/surfdata/SURF_ZH_20240705123000_17718.xml(125611) ...ok.
2024-07-05 12:31:29 recv /myproject/myserver/surfdata/SURF_ZH_20240705123100_17780.xml(125542) ...ok.
2024-07-05 12:32:29 recv /myproject/myserver/surfdata/SURF_ZH_20240705123200_17842.xml(125585) ...ok.
2024-07-05 12:33:30 recv /myproject/myserver/surfdata/SURF_ZH_20240705123300_17907.xml(125580) ...ok.
2024-07-05 12:34:30 recv /myproject/myserver/surfdata/SURF_ZH_20240705123400_17969.xml(125579) ...ok.
2024-07-05 12:35:30 recv /myproject/myserver/surfdata/SURF_ZH_20240705123500_18055.xml(125576) ...ok.
2024-07-05 12:36:30 recv /myproject/myserver/surfdata/SURF_ZH_20240705123600_18116.xml(125571) ...ok.
2024-07-05 12:37:30 recv /myproject/myserver/surfdata/SURF_ZH_20240705123700_18178.xml(125608) ...ok.
2024-07-05 12:38:30 recv /myproject/myserver/surfdata/SURF_ZH_20240705123800_18243.xml(125557) ...ok.
